ASFIndex,Date,Time,Area,Lat,Long,Speed,P,Heading,mp,Altitude,Sal,T,Depth,E,N
00:00:00.985,18/01/2026,11:30:54,17_T02,39.121704607,10.189912176,0.1,734.16,354.41,873.183,76.0,38.70,13.96,733.95,4337523.33,1781526.05
00:00:01.987,18/01/2026,11:30:55,17_T02,39.121704512,10.189912152,0.1,733.41,354.67,873.185,76.0,38.70,13.96,733.06,4337523.33,1781526.04
00:00:02.986,18/01/2026,11:30:56,17_T02,39.121704735,10.189913106,0.1,732.93,355.03,873.254,76.0,38.70,13.96,733.06,4337523.41,1781526.06
00:00:03.986,18/01/2026,11:30:57,17_T02,39.121705015,10.189913906,0.1,732.72,355.32,873.310,76.0,38.69,13.97,731.94,4337523.48,1781526.10
00:00:04.983,18/01/2026,11:30:58,17_T02,39.121705150,10.189914077,0.1,732.57,355.48,873.319,76.0,38.69,13.97,731.94,4337523.49,1781526.11
00:00:05.985,18/01/2026,11:30:59,17_T02,39.121705072,10.189913839,0.1,732.20,355.54,873.302,76.0,38.71,13.99,731.53,4337523.47,1781526.10
00:00:06.987,18/01/2026,11:31:00,17_T02,39.121704942,10.189913597,0.1,731.64,355.60,873.287,76.0,38.71,13.99,731.53,4337523.45,1781526.09
00:00:07.985,18/01/2026,11:31:01,17_T02,39.121704915,10.189913756,0.1,731.11,355.83,873.301,76.0,38.70,13.98,730.53,4337523.47,1781526.08
00:00:08.985,18/01/2026,11:31:02,17_T02,39.121705043,10.189914133,0.1,730.71,356.14,873.327,76.0,38.70,13.98,730.53,4337523.50,1781526.10
00:00:09.985,18/01/2026,11:31:03,17_T02,39.121705217,10.189914478,0.1,730.39,356.44,873.349,76.0,38.70,13.98,729.66,4337523.53,1781526.12
00:00:10.985,18/01/2026,11:31:04,17_T02,39.121705286,10.189914586,0.1,730.08,356.62,873.355,76.0,38.70,13.98,729.66,4337523.54,1781526.13
