ASFIndex,Date,Time,Area,Lat,Long,Speed,P,Heading,mp,Altitude,Sal,T,Depth,E,N
00:00:00.36,18/01/2026,11:00:53,17_T02,39.121672982,10.189841297,0.1,1483.26,256.03,868.555,76.0,38.54,13.49,1483.25,4337517.17,1781522.55
00:00:01.37,18/01/2026,11:00:54,17_T02,39.121673036,10.189841564,0.1,1483.02,256.57,868.575,76.0,38.55,13.48,1482.21,4337517.19,1781522.55
00:00:02.37,18/01/2026,11:00:55,17_T02,39.121673254,10.189841345,0.1,1482.81,257.06,868.549,76.0,38.55,13.48,1482.21,4337517.17,1781522.58
00:00:03.36,18/01/2026,11:00:56,17_T02,39.121673179,10.189841447,0.1,1482.38,257.40,868.560,76.0,38.54,13.49,1481.72,4337517.18,1781522.57
00:00:04.37,18/01/2026,11:00:57,17_T02,39.121673127,10.189842434,0.1,1481.80,257.74,868.643,76.0,38.54,13.49,1481.72,4337517.27,1781522.56
00:00:05.36,18/01/2026,11:00:58,17_T02,39.121673220,10.189842957,0.1,1481.29,258.22,868.682,76.0,38.55,13.48,1480.72,4337517.31,1781522.57
00:00:06.35,18/01/2026,11:00:59,17_T02,39.121673450,10.189842826,0.1,1480.94,258.72,868.663,76.0,38.55,13.48,1480.72,4337517.30,1781522.60
00:00:07.35,18/01/2026,11:01:00,17_T02,39.121673624,10.189842712,0.1,1480.62,259.18,868.647,76.0,38.56,13.48,1479.85,4337517.29,1781522.62
00:00:08.36,18/01/2026,11:01:01,17_T02,39.121673599,10.189842787,0.1,1480.22,259.58,868.654,76.0,38.56,13.48,1479.85,4337517.30,1781522.61
00:00:09.36,18/01/2026,11:01:02,17_T02,39.121673777,10.189845244,0.1,1479.78,259.97,868.849,76.0,38.54,13.49,1479.09,4337517.51,1781522.63
00:00:10.35,18/01/2026,11:01:03,17_T02,39.121673948,10.189846747,0.1,1479.41,260.44,868.965,76.0,38.54,13.49,1479.09,4337517.64,1781522.65
00:00:11.35,18/01/2026,11:01:04,17_T02,39.121674102,10.189846867,0.1,1479.18,260.95,868.969,76.0,38.54,13.48,1478.29,4337517.65,1781522.67
00:00:12.35,18/01/2026,11:01:05,17_T02,39.121674210,10.189846984,0.1,1478.92,261.42,868.975,76.0,38.54,13.48,1478.29,4337517.66,1781522.68
00:00:13.36,18/01/2026,11:01:06,17_T02,39.121674148,10.189847281,0.1,1478.42,261.86,869.002,76.0,38.54,13.48,1477.75,4337517.69,1781522.68
00:00:14.37,18/01/2026,11:01:07,17_T02,39.121674065,10.189844648,0.1,1477.69,262.36,868.789,76.0,38.54,13.48,1477.75,4337517.46,1781522.67
00:00:15.36,18/01/2026,11:01:08,17_T02,39.121673995,10.189842992,0.2,1476.99,262.76,868.656,76.0,38.54,13.47,1476.44,4337517.32,1781522.66
00:00:16.36,18/01/2026,11:01:09,17_T02,39.121674297,10.189842847,0.2,1476.66,263.28,868.633,76.0,38.54,13.47,1476.44,4337517.30,1781522.69
00:00:17.35,18/01/2026,11:01:10,17_T02,39.121674610,10.189842672,0.2,1476.73,263.81,868.607,76.0,38.55,13.47,1475.57,4337517.29,1781522.73
00:00:18.36,18/01/2026,11:01:11,17_T02,39.121674668,10.189842787,0.2,1476.82,264.30,868.614,76.0,38.55,13.47,1475.57,4337517.30,1781522.73
00:00:19.36,18/01/2026,11:01:12,17_T02,39.121675774,10.189843056,0.2,1476.42,264.52,868.595,76.0,38.55,13.47,1475.63,4337517.32,1781522.85
00:00:20.35,18/01/2026,11:01:13,17_T02,39.121676346,10.189843405,0.2,1475.54,264.78,868.602,76.0,38.55,13.47,1475.63,4337517.35,1781522.92
00:00:21.36,18/01/2026,11:01:14,17_T02,39.121676497,10.189843481,0.2,1474.60,265.30,868.603,76.0,38.55,13.46,1474.12,4337517.36,1781522.93
00:00:22.35,18/01/2026,11:01:15,17_T02,39.121676914,10.189843204,0.2,1474.01,265.91,868.565,76.0,38.55,13.46,1474.12,4337517.34,1781522.98
00:00:23.33,18/01/2026,11:01:16,17_T02,39.121677409,10.189842916,0.2,1473.89,266.53,868.523,76.0,38.56,13.48,1472.81,4337517.31,1781523.03
00:00:24.35,18/01/2026,11:01:17,17_T02,39.121679450,10.189840607,0.2,1474.03,267.13,868.258,76.0,38.56,13.48,1472.81,4337517.11,1781523.26
00:00:25.37,18/01/2026,11:01:18,17_T02,39.121680180,10.189839777,0.2,1474.00,267.53,868.163,76.0,38.54,13.47,1472.92,4337517.04,1781523.34
00:00:26.37,18/01/2026,11:01:19,17_T02,39.121679501,10.189840439,0.2,1473.48,267.58,868.242,76.0,38.54,13.47,1472.92,4337517.09,1781523.26
00:00:27.37,18/01/2026,11:01:20,17_T02,39.121679390,10.189840888,0.1,1472.65,267.80,868.283,76.0,38.55,13.46,1472.03,4337517.13,1781523.25
00:00:28.35,18/01/2026,11:01:21,17_T02,39.121681267,10.189841862,0.2,1471.87,268.14,868.293,76.0,38.55,13.46,1472.03,4337517.22,1781523.46
00:00:29.35,18/01/2026,11:01:22,17_T02,39.121682600,10.189842117,0.2,1471.38,268.62,868.264,76.0,38.55,13.47,1470.50,4337517.24,1781523.61
00:00:30.35,18/01/2026,11:01:23,17_T02,39.121683082,10.189841849,0.2,1471.22,269.11,868.224,76.0,38.55,13.47,1470.50,4337517.22,1781523.66
00:00:31.36,18/01/2026,11:01:24,17_T02,39.121683381,10.189841802,0.2,1471.24,269.59,868.209,76.0,38.54,13.48,1470.09,4337517.21,1781523.69
00:00:32.36,18/01/2026,11:01:25,17_T02,39.121683340,10.189842234,0.2,1471.18,269.93,868.246,76.0,38.54,13.48,1470.09,4337517.25,1781523.69
00:00:33.35,18/01/2026,11:01:26,17_T02,39.121684529,10.189842956,0.2,1470.79,270.07,868.261,76.0,38.55,13.46,1469.89,4337517.31,1781523.82
00:00:34.35,18/01/2026,11:01:27,17_T02,39.121685384,10.189843506,0.2,1470.04,270.27,868.274,76.0,38.55,13.46,1469.89,4337517.36,1781523.91
00:00:35.34,18/01/2026,11:01:28,17_T02,39.121685792,10.189843621,0.2,1469.19,270.75,868.269,76.0,38.55,13.47,1468.43,4337517.37,1781523.96
00:00:36.35,18/01/2026,11:01:29,17_T02,39.121686330,10.189843434,0.2,1468.57,271.30,868.233,76.0,38.55,13.47,1468.43,4337517.35,1781524.02
00:00:37.35,18/01/2026,11:01:30,17_T02,39.121687043,10.189843247,0.2,1468.35,272.01,868.191,76.0,38.56,13.49,1467.27,4337517.34,1781524.10
00:00:38.35,18/01/2026,11:01:31,17_T02,39.121688840,10.189837751,0.2,1468.37,272.65,867.674,76.0,38.56,13.49,1467.27,4337516.86,1781524.29
00:00:39.32,18/01/2026,11:01:32,17_T02,39.121689756,10.189834843,0.2,1468.30,273.12,867.402,76.0,38.54,13.47,1467.19,4337516.60,1781524.39
00:00:40.35,18/01/2026,11:01:33,17_T02,39.121689414,10.189835496,0.2,1467.87,273.36,867.468,76.0,38.54,13.47,1467.19,4337516.66,1781524.36
00:00:41.35,18/01/2026,11:01:34,17_T02,39.121689432,10.189835951,0.2,1467.13,273.68,867.505,76.0,38.54,13.47,1467.19,4337516.70,1781524.36
00:00:42.34,18/01/2026,11:01:35,17_T02,39.121689940,10.189835931,0.2,1466.35,274.21,867.484,76.0,38.55,13.47,1466.27,4337516.70,1781524.42
00:00:43.36,18/01/2026,11:01:36,17_T02,39.121692255,10.189837786,0.3,1465.79,274.73,867.550,76.0,38.55,13.47,1466.27,4337516.86,1781524.67
00:00:44.35,18/01/2026,11:01:37,17_T02,39.121693976,10.189838744,0.3,1465.58,275.33,867.565,76.0,38.55,13.47,1464.80,4337516.94,1781524.86
00:00:45.35,18/01/2026,11:01:38,17_T02,39.121694597,10.189838667,0.3,1465.59,275.98,867.535,76.0,38.55,13.47,1464.80,4337516.94,1781524.93
00:00:46.35,18/01/2026,11:01:39,17_T02,39.121694837,10.189839031,0.3,1465.51,276.55,867.556,76.0,38.55,13.48,1464.41,4337516.97,1781524.96
00:00:47.36,18/01/2026,11:01:40,17_T02,39.121694620,10.189839664,0.3,1465.10,276.93,867.616,76.0,38.55,13.48,1464.41,4337517.02,1781524.93
00:00:48.35,18/01/2026,11:01:41,17_T02,39.121695306,10.189842610,0.3,1464.38,277.30,867.832,76.0,38.55,13.47,1464.07,4337517.28,1781525.01
00:00:49.34,18/01/2026,11:01:42,17_T02,39.121696190,10.189844274,0.3,1463.61,277.77,867.935,76.0,38.55,13.47,1464.07,4337517.42,1781525.11
00:00:50.34,18/01/2026,11:01:43,17_T02,39.121696845,10.189844138,0.2,1463.00,278.23,867.900,76.0,38.55,13.47,1462.62,4337517.41,1781525.18
00:00:51.35,18/01/2026,11:01:44,17_T02,39.121697630,10.189843983,0.2,1462.72,278.76,867.858,76.0,38.55,13.47,1462.62,4337517.40,1781525.27
00:00:52.35,18/01/2026,11:01:45,17_T02,39.121696992,10.189840557,0.3,1462.72,279.29,867.601,76.0,38.56,13.49,1461.57,4337517.10,1781525.19
00:00:53.35,18/01/2026,11:01:46,17_T02,39.121696576,10.189839097,0.3,1462.67,279.73,867.497,76.0,38.56,13.49,1461.57,4337516.97,1781525.15
00:00:54.35,18/01/2026,11:01:47,17_T02,39.121696259,10.189839671,0.2,1462.27,279.97,867.555,76.0,38.54,13.47,1461.50,4337517.02,1781525.11
00:00:55.34,18/01/2026,11:01:48,17_T02,39.121696318,10.189840164,0.3,1461.53,280.31,867.594,76.0,38.54,13.47,1461.50,4337517.07,1781525.12
00:00:56.34,18/01/2026,11:01:49,17_T02,39.121696846,10.189840263,0.3,1460.74,280.84,867.582,76.0,38.55,13.47,1460.46,4337517.07,1781525.18
00:00:57.33,18/01/2026,11:01:50,17_T02,39.121699421,10.189841597,0.2,1460.20,281.39,867.596,76.0,38.55,13.47,1460.46,4337517.19,1781525.46
00:00:58.34,18/01/2026,11:01:51,17_T02,39.121701264,10.189842253,0.3,1460.03,282.00,867.581,76.0,38.55,13.48,1459.08,4337517.25,1781525.67
00:00:59.34,18/01/2026,11:01:52,17_T02,39.121701854,10.189842234,0.3,1460.05,282.56,867.557,76.0,38.55,13.48,1459.08,4337517.24,1781525.73
00:01:00.35,18/01/2026,11:01:53,17_T02,39.121702037,10.189842564,0.3,1459.95,283.01,867.577,76.0,38.54,13.48,1458.85,4337517.27,1781525.75
00:01:01.34,18/01/2026,11:01:54,17_T02,39.121701768,10.189843109,0.3,1459.45,283.31,867.632,76.0,38.54,13.48,1458.85,4337517.32,1781525.72
00:01:02.36,18/01/2026,11:01:55,17_T02,39.121701058,10.189843652,0.2,1458.64,283.74,867.703,76.0,38.55,13.47,1458.27,4337517.37,1781525.64
00:01:03.35,18/01/2026,11:01:56,17_T02,39.121701186,10.189843800,0.1,1457.82,284.33,867.710,76.0,38.55,13.47,1458.27,4337517.38,1781525.66
00:01:04.35,18/01/2026,11:01:57,17_T02,39.121702087,10.189843676,0.1,1457.31,285.01,867.667,76.0,38.55,13.47,1456.65,4337517.37,1781525.76
00:01:05.34,18/01/2026,11:01:58,17_T02,39.121702937,10.189843556,0.1,1457.24,285.69,867.625,76.0,38.55,13.47,1456.65,4337517.36,1781525.85
00:01:06.34,18/01/2026,11:01:59,17_T02,39.121703663,10.189843651,0.1,1457.38,286.37,867.606,76.0,38.55,13.48,1456.10,4337517.37,1781525.93
00:01:07.34,18/01/2026,11:02:00,17_T02,39.121703590,10.189841663,0.1,1457.28,286.96,867.446,76.0,38.55,13.48,1456.10,4337517.19,1781525.92
00:01:08.33,18/01/2026,11:02:01,17_T02,39.121703103,10.189840714,0.1,1456.67,287.25,867.386,76.0,38.55,13.46,1456.03,4337517.11,1781525.87
00:01:09.35,18/01/2026,11:02:02,17_T02,39.121703410,10.189841000,0.1,1455.77,287.70,867.398,76.0,38.55,13.46,1456.03,4337517.14,1781525.90
00:01:10.35,18/01/2026,11:02:03,17_T02,39.121704177,10.189840917,0.1,1454.98,288.26,867.363,76.0,38.55,13.47,1454.49,4337517.13,1781525.99
00:01:11.34,18/01/2026,11:02:04,17_T02,39.121706214,10.189842793,0.2,1454.62,288.96,867.441,76.0,38.55,13.47,1454.49,4337517.29,1781526.21
00:01:12.36,18/01/2026,11:02:05,17_T02,39.121707809,10.189843903,0.2,1454.66,289.79,867.472,76.0,38.55,13.49,1453.43,4337517.39,1781526.39
