ASFIndex,Date,Time,Area,Lat,Long,Speed,P,Heading,mp,Altitude,Sal,T,Depth,E,N
00:00:00.306,18/01/2026,07:00:53,17_T02,39.121451128,10.180301351,0.0,584.83,227.11,-8.573,77.2,38.74,14.18,583.76,4336687.20,1781496.05
00:00:01.312,18/01/2026,07:00:54,17_T02,39.121451097,10.180301490,0.0,585.33,226.99,-8.563,77.2,38.74,14.18,583.76,4336687.21,1781496.05
00:00:02.306,18/01/2026,07:00:55,17_T02,39.121450881,10.180301770,0.0,585.71,226.83,-8.551,77.2,38.74,14.18,583.76,4336687.24,1781496.02
00:00:03.306,18/01/2026,07:00:56,17_T02,39.121450637,10.180301926,0.0,585.96,226.69,-8.549,77.2,38.75,14.17,584.71,4336687.25,1781496.00
00:00:04.306,18/01/2026,07:00:57,17_T02,39.121450819,10.180302085,0.0,586.17,226.57,-8.529,77.2,38.75,14.17,584.71,4336687.26,1781496.02
00:00:05.306,18/01/2026,07:00:58,17_T02,39.121450964,10.180301975,0.0,586.53,226.53,-8.531,77.2,38.76,14.17,585.24,4336687.25,1781496.03
00:00:06.304,18/01/2026,07:00:59,17_T02,39.121451031,10.180301845,0.0,587.14,226.50,-8.538,77.2,38.76,14.17,585.24,4336687.24,1781496.04
00:00:07.307,18/01/2026,07:01:00,17_T02,39.121451020,10.180301999,0.0,587.80,226.38,-8.526,77.2,38.74,14.19,586.12,4336687.26,1781496.04
00:00:08.305,18/01/2026,07:01:01,17_T02,39.121450905,10.180302526,0.0,588.24,226.28,-8.490,77.2,38.74,14.19,586.12,4336687.30,1781496.03
00:00:09.306,18/01/2026,07:01:02,17_T02,39.121450574,10.180303028,0.0,588.40,226.09,-8.465,77.2,38.75,14.17,587.28,4336687.35,1781495.99
00:00:10.305,18/01/2026,07:01:03,17_T02,39.121450347,10.180303061,0.0,588.52,225.99,-8.472,77.2,38.75,14.17,587.28,4336687.35,1781495.96
00:00:11.304,18/01/2026,07:01:04,17_T02,39.121450418,10.180302872,0.0,588.87,225.94,-8.484,77.2,38.75,14.18,587.63,4336687.33,1781495.97
00:00:12.306,18/01/2026,07:01:05,17_T02,39.121450523,10.180302684,0.0,589.45,225.95,-8.494,77.2,38.75,14.18,587.63,4336687.32,1781495.98
00:00:13.307,18/01/2026,07:01:06,17_T02,39.121450490,10.180302775,0.0,590.11,225.86,-8.489,77.2,38.73,14.20,588.52,4336687.32,1781495.98
00:00:14.305,18/01/2026,07:01:07,17_T02,39.121450327,10.180303219,0.0,590.51,225.73,-8.461,77.2,38.73,14.20,588.52,4336687.36,1781495.96
00:00:15.305,18/01/2026,07:01:08,17_T02,39.121450344,10.180303968,0.0,590.63,225.49,-8.401,77.2,38.75,14.17,589.62,4336687.43,1781495.96
